جدول الحضور الشهري - CADRO
اسم الشركة:,,,,,,,,
اسم الموظف:,,,,القسم:,,,,
الشهر / السنة:,,,,المسمى الوظيفي:,,,,

اليوم,التاريخ,اسم اليوم,وقت الحضور,وقت الانصراف,استراحة (دقيقة),ساعات عادية,ساعات إضافية,الإجمالي (ساعة),ملاحظات
1,,الاثنين,,,,,,, 
2,,الثلاثاء,,,,,,, 
3,,الأربعاء,,,,,,, 
4,,الخميس,,,,,,, 
5,,الجمعة,,,,,,, 
6,,السبت,,,,,,, 
7,,الأحد,,,,,,, 
8,,الاثنين,,,,,,, 
9,,الثلاثاء,,,,,,, 
10,,الأربعاء,,,,,,, 
11,,الخميس,,,,,,, 
12,,الجمعة,,,,,,, 
13,,السبت,,,,,,, 
14,,الأحد,,,,,,, 
15,,الاثنين,,,,,,, 
16,,الثلاثاء,,,,,,, 
17,,الأربعاء,,,,,,, 
18,,الخميس,,,,,,, 
19,,الجمعة,,,,,,, 
20,,السبت,,,,,,, 
21,,الأحد,,,,,,, 
22,,الاثنين,,,,,,, 
23,,الثلاثاء,,,,,,, 
24,,الأربعاء,,,,,,, 
25,,الخميس,,,,,,, 
26,,الجمعة,,,,,,, 
27,,السبت,,,,,,, 
28,,الأحد,,,,,,, 
29,,الاثنين,,,,,,, 
30,,الثلاثاء,,,,,,, 
31,,الأربعاء,,,,,,, 

,,,,,المجموع:,0,0,0,
,,,,,,,,, 
توقيع الموظف:,,,,توقيع المدير:,,,,
التاريخ:,,,,التاريخ:,,,,

هذا النموذج مقدم مجاناً من CADRO. www.cadro.io
