قائمة تحقق التهيئة للموظف الجديد - CADRO
اسم الموظف:,,,,
القسم:,,المسمى الوظيفي:,,
تاريخ المباشرة:,,المدير المباشر:,,

المرحلة,المهمة,المسؤول,الموعد النهائي,الحالة,ملاحظات

اليوم الأول - التوجيه
اليوم الأول,إرسال رسالة ترحيب,الموارد البشرية,,قيد الانتظار,
اليوم الأول,تحضير بطاقة الموظف,الموارد البشرية,,قيد الانتظار,
اليوم الأول,تسليم الحاسوب والمعدات,تقنية المعلومات,,قيد الانتظار,
اليوم الأول,إعداد البريد الإلكتروني وحسابات النظام,تقنية المعلومات,,قيد الانتظار,
اليوم الأول,تجهيز مكتب العمل,الشؤون الإدارية,,قيد الانتظار,
اليوم الأول,تسليم سياسات الشركة ودليل الموظف,الموارد البشرية,,قيد الانتظار,
اليوم الأول,توقيع عقد العمل,الموارد البشرية,,قيد الانتظار,
اليوم الأول,استكمال النماذج القانونية,الموارد البشرية,,قيد الانتظار,
اليوم الأول,تعريف بفريق العمل,المدير المباشر,,قيد الانتظار,
اليوم الأول,جولة في المكتب,المدير المباشر,,قيد الانتظار,
اليوم الأول,التعريف بإجراءات الطوارئ,السلامة المهنية,,قيد الانتظار,

الأسبوع الأول - التأقلم
الأسبوع الأول,اجتماع مراجعة الأدوار والمسؤوليات,المدير المباشر,,قيد الانتظار,
الأسبوع الأول,التدريب على أدوات البرمجيات,تقنية المعلومات,,قيد الانتظار,
الأسبوع الأول,شرح سير عمل القسم,المدير المباشر,,قيد الانتظار,
الأسبوع الأول,تعيين مرشد / موجه,الموارد البشرية,,قيد الانتظار,
الأسبوع الأول,التدريب على خصوصية البيانات,الموارد البشرية,,قيد الانتظار,
الأسبوع الأول,التدريب الأساسي على السلامة المهنية,السلامة المهنية,,قيد الانتظار,
الأسبوع الأول,اجتماع متابعة نهاية الأسبوع الأول,المدير المباشر,,قيد الانتظار,

الشهر الأول - التطوير
الشهر الأول,تحديد أهداف الثلاثين يوماً,المدير المباشر,,قيد الانتظار,
الشهر الأول,توضيح توقعات الأداء,المدير المباشر,,قيد الانتظار,
الشهر الأول,اجتماعات تعارف مع الأقسام الأخرى,الموارد البشرية,,قيد الانتظار,
الشهر الأول,إتمام الشهادات والتدريبات الإلزامية,الموارد البشرية,,قيد الانتظار,
الشهر الأول,اجتماع مراجعة نهاية الشهر الأول,المدير المباشر,,قيد الانتظار,
الشهر الأول,استبيان رأي الموظف الجديد,الموارد البشرية,,قيد الانتظار,

نهاية فترة التجربة
فترة التجربة,اجتماع تقييم فترة التجربة,المدير المباشر,,قيد الانتظار,
فترة التجربة,نموذج قرار فترة التجربة,الموارد البشرية,,قيد الانتظار,
فترة التجربة,تأكيد التثبيت في الوظيفة,الإدارة العليا,,قيد الانتظار,

هذا النموذج مقدم مجاناً من CADRO. www.cadro.io
