MONATLICHER ARBEITSZEITNACHWEIS - CADRO
Firmenname:,,,,,,,,
Mitarbeitername:,,,,Abteilung:,,,,
Monat / Jahr:,,,,Position:,,,,

Tag,Datum,Wochentag,Arbeitsbeginn,Arbeitsende,Pause (Min),Regelarbeitszeit (Std),Überstunden (Std),Gesamt (Std),Bemerkungen
1,,Montag,,,,,,, 
2,,Dienstag,,,,,,, 
3,,Mittwoch,,,,,,, 
4,,Donnerstag,,,,,,, 
5,,Freitag,,,,,,, 
6,,Samstag,,,,,,, 
7,,Sonntag,,,,,,, 
8,,Montag,,,,,,, 
9,,Dienstag,,,,,,, 
10,,Mittwoch,,,,,,, 
11,,Donnerstag,,,,,,, 
12,,Freitag,,,,,,, 
13,,Samstag,,,,,,, 
14,,Sonntag,,,,,,, 
15,,Montag,,,,,,, 
16,,Dienstag,,,,,,, 
17,,Mittwoch,,,,,,, 
18,,Donnerstag,,,,,,, 
19,,Freitag,,,,,,, 
20,,Samstag,,,,,,, 
21,,Sonntag,,,,,,, 
22,,Montag,,,,,,, 
23,,Dienstag,,,,,,, 
24,,Mittwoch,,,,,,, 
25,,Donnerstag,,,,,,, 
26,,Freitag,,,,,,, 
27,,Samstag,,,,,,, 
28,,Sonntag,,,,,,, 
29,,Montag,,,,,,, 
30,,Dienstag,,,,,,, 
31,,Mittwoch,,,,,,, 

,,,,,GESAMT:,0,0,0,
,,,,,,,,, 
Unterschrift Mitarbeiter:,,,,Unterschrift Vorgesetzter:,,,,
Datum:,,,,Datum:,,,,

Diese Vorlage wird von CADRO kostenlos bereitgestellt. www.cadro.io
