ONBOARDING-CHECKLISTE - CADRO
Mitarbeitername:,,,,
Abteilung:,,Position:,,
Eintrittsdatum:,,Vorgesetzter:,,

Phase,Aufgabe,Verantwortlich,Frist,Status,Anmerkungen

ERSTER TAG - EINFÜHRUNG
Erster Tag,Willkommens-E-Mail senden,HR,,Ausstehend,
Erster Tag,Mitarbeiterausweis vorbereiten,HR,,Ausstehend,
Erster Tag,Computer und Ausrüstung übergeben,IT,,Ausstehend,
Erster Tag,E-Mail und Systemzugänge einrichten,IT,,Ausstehend,
Erster Tag,Arbeitsplatz und Büro vorbereiten,Verwaltung,,Ausstehend,
Erster Tag,Unternehmensrichtlinien und Handbuch übergeben,HR,,Ausstehend,
Erster Tag,Arbeitsvertrag unterzeichnen,HR,,Ausstehend,
Erster Tag,Steuer- und Sozialversicherungsformulare ausfüllen,HR,,Ausstehend,
Erster Tag,Teamvorstellung,Vorgesetzter,,Ausstehend,
Erster Tag,Bürorundgang,Vorgesetzter,,Ausstehend,
Erster Tag,Notfallverfahren-Einweisung,Arbeitssicherheit,,Ausstehend,

ERSTE WOCHE - EINARBEITUNG
Erste Woche,Rollen- und Verantwortlichkeitsbesprechung,Vorgesetzter,,Ausstehend,
Erste Woche,Software-Tools-Schulung,IT,,Ausstehend,
Erste Woche,Abteilungsabläufe erklären,Vorgesetzter,,Ausstehend,
Erste Woche,Mentor/Paten zuweisen,HR,,Ausstehend,
Erste Woche,Datenschutz- und DSGVO-Schulung,HR,,Ausstehend,
Erste Woche,Grundlegende Arbeitssicherheitsschulung,Arbeitssicherheit,,Ausstehend,
Erste Woche,Feedbackgespräch erste Woche,Vorgesetzter,,Ausstehend,

ERSTER MONAT - ENTWICKLUNG
Erster Monat,30-Tage-Ziele festlegen,Vorgesetzter,,Ausstehend,
Erster Monat,Leistungserwartungen klären,Vorgesetzter,,Ausstehend,
Erster Monat,Kennenlern-Meetings mit anderen Abteilungen,HR,,Ausstehend,
Erster Monat,Pflichtschulungen abschließen,HR,,Ausstehend,
Erster Monat,Monatsgespräch,Vorgesetzter,,Ausstehend,
Erster Monat,Feedback-Umfrage für neue Mitarbeiter,HR,,Ausstehend,

ENDE DER PROBEZEIT
Probezeit,Probezeitbeurteilungsgespräch,Vorgesetzter,,Ausstehend,
Probezeit,Probezeitentscheidungsformular,HR,,Ausstehend,
Probezeit,Bestätigung der Festanstellung,Geschäftsleitung,,Ausstehend,

Diese Vorlage wird von CADRO kostenlos bereitgestellt. www.cadro.io
