ONBOARDING CHECKLIST - CADRO
Employee Name:,,,,
Department:,,Position:,,
Start Date:,,Manager:,,

Phase,Task,Responsible,Deadline,Status,Notes

FIRST DAY - ORIENTATION
First Day,Send welcome email,HR,,Pending,
First Day,Prepare employee ID card,HR,,Pending,
First Day,Deliver computer and equipment,IT,,Pending,
First Day,Set up email and system accounts,IT,,Pending,
First Day,Prepare desk and office space,Admin,,Pending,
First Day,Deliver company policies and handbook,HR,,Pending,
First Day,Sign employment contract,HR,,Pending,
First Day,Complete tax and legal forms,HR,,Pending,
First Day,Team introduction,Manager,,Pending,
First Day,Office tour,Manager,,Pending,
First Day,Emergency procedures briefing,HSE,,Pending,

FIRST WEEK - ADAPTATION
First Week,Role and responsibilities review meeting,Manager,,Pending,
First Week,Software tools training,IT,,Pending,
First Week,Department workflow overview,Manager,,Pending,
First Week,Assign mentor/buddy,HR,,Pending,
First Week,Data privacy and security training,HR,,Pending,
First Week,Health and safety basic training,HSE,,Pending,
First Week,First week check-in meeting,Manager,,Pending,

FIRST MONTH - DEVELOPMENT
First Month,Set 30-day goals,Manager,,Pending,
First Month,Clarify performance expectations,Manager,,Pending,
First Month,Cross-department introduction meetings,HR,,Pending,
First Month,Complete mandatory certifications,HR,,Pending,
First Month,First month review meeting,Manager,,Pending,
First Month,New hire feedback survey,HR,,Pending,

PROBATION END
Probation,Probation review meeting,Manager,,Pending,
Probation,Probation decision form,HR,,Pending,
Probation,Permanent position confirmation,Senior Management,,Pending,

This template is provided free of charge by CADRO. www.cadro.io
