MONTHLY TIMESHEET - CADRO
Company Name:,,,,,,,,
Employee Name:,,,,Department:,,,,
Month / Year:,,,,Position:,,,,

Day,Date,Day Name,Clock In,Clock Out,Break (min),Regular Hours,Overtime (hrs),Total (hrs),Notes
1,,Monday,,,,,,, 
2,,Tuesday,,,,,,, 
3,,Wednesday,,,,,,, 
4,,Thursday,,,,,,, 
5,,Friday,,,,,,, 
6,,Saturday,,,,,,, 
7,,Sunday,,,,,,, 
8,,Monday,,,,,,, 
9,,Tuesday,,,,,,, 
10,,Wednesday,,,,,,, 
11,,Thursday,,,,,,, 
12,,Friday,,,,,,, 
13,,Saturday,,,,,,, 
14,,Sunday,,,,,,, 
15,,Monday,,,,,,, 
16,,Tuesday,,,,,,, 
17,,Wednesday,,,,,,, 
18,,Thursday,,,,,,, 
19,,Friday,,,,,,, 
20,,Saturday,,,,,,, 
21,,Sunday,,,,,,, 
22,,Monday,,,,,,, 
23,,Tuesday,,,,,,, 
24,,Wednesday,,,,,,, 
25,,Thursday,,,,,,, 
26,,Friday,,,,,,, 
27,,Saturday,,,,,,, 
28,,Sunday,,,,,,, 
29,,Monday,,,,,,, 
30,,Tuesday,,,,,,, 
31,,Wednesday,,,,,,, 

,,,,,TOTAL:,0,0,0,
,,,,,,,,, 
Employee Signature:,,,,Manager Signature:,,,,
Date:,,,,Date:,,,,

This template is provided free of charge by CADRO. www.cadro.io
