İŞE GİRİŞ KONTROL LİSTESİ - CADRO
Çalışan Adı:,,,,
Departman:,,Pozisyon:,,
İşe Başlama Tarihi:,,Yönetici:,,

Aşama,Görev,Sorumlu,Son Tarih,Durum,Notlar

İLK GÜN - İŞE BAŞLANGIÇ
İlk Gün,Hoş geldin e-postası gönderimi,İK,,Bekliyor,
İlk Gün,Çalışan kimlik kartı hazırlanması,İK,,Bekliyor,
İlk Gün,Bilgisayar ve ekipman teslimi,BT,,Bekliyor,
İlk Gün,E-posta ve sistem hesaplarının açılması,BT,,Bekliyor,
İlk Gün,Çalışma masası ve ofis düzeni,İdari İşler,,Bekliyor,
İlk Gün,Şirket politikaları ve el kitabı teslimi,İK,,Bekliyor,
İlk Gün,İş sözleşmesi imzalatma,İK,,Bekliyor,
İlk Gün,SGK giriş bildirimi,İK,,Bekliyor,
İlk Gün,Ekip tanıtımı,Yönetici,,Bekliyor,
İlk Gün,Ofis turu,Yönetici,,Bekliyor,
İlk Gün,Acil durum prosedürleri bilgilendirmesi,İSG,,Bekliyor,

İLK HAFTA - ADAPTASYON
İlk Hafta,Rol ve sorumluluk beklentileri görüşmesi,Yönetici,,Bekliyor,
İlk Hafta,Kullanılan yazılım araçları eğitimi,BT,,Bekliyor,
İlk Hafta,Departman iş akışlarının anlatımı,Yönetici,,Bekliyor,
İlk Hafta,Mentor atanması,İK,,Bekliyor,
İlk Hafta,KVKK ve veri gizliliği eğitimi,İK,,Bekliyor,
İlk Hafta,İş güvenliği temel eğitimi,İSG,,Bekliyor,
İlk Hafta,İlk hafta değerlendirme görüşmesi,Yönetici,,Bekliyor,

İLK AY - GELİŞİM
İlk Ay,30 günlük hedeflerin belirlenmesi,Yönetici,,Bekliyor,
İlk Ay,Performans beklentilerinin netleştirilmesi,Yönetici,,Bekliyor,
İlk Ay,Diğer departmanlarla tanışma toplantıları,İK,,Bekliyor,
İlk Ay,Zorunlu sertifika ve eğitim tamamlama,İK,,Bekliyor,
İlk Ay,İlk ay değerlendirme görüşmesi,Yönetici,,Bekliyor,
İlk Ay,Geri bildirim formu doldurma (çalışan),İK,,Bekliyor,

DENEME SÜRESİ SONU
Deneme Süresi,Deneme süresi değerlendirme görüşmesi,Yönetici,,Bekliyor,
Deneme Süresi,Deneme süresi karar formu,İK,,Bekliyor,
Deneme Süresi,Kalıcı pozisyon onayı,Üst Yönetim,,Bekliyor,

Bu şablon CADRO tarafından ücretsiz olarak sunulmaktadır. www.cadro.io
