AYLIK PUANTAJ TABLOSU - CADRO
Şirket Adı:,,,,,,,,
Çalışan Adı:,,,,Departman:,,,,
Ay / Yıl:,,,,Pozisyon:,,,,

Gün,Tarih,Gün Adı,Giriş Saati,Çıkış Saati,Mola (dk),Normal Mesai (sa),Fazla Mesai (sa),Toplam (sa),Not
1,,Pazartesi,,,,,,, 
2,,Salı,,,,,,, 
3,,Çarşamba,,,,,,, 
4,,Perşembe,,,,,,, 
5,,Cuma,,,,,,, 
6,,Cumartesi,,,,,,, 
7,,Pazar,,,,,,, 
8,,Pazartesi,,,,,,, 
9,,Salı,,,,,,, 
10,,Çarşamba,,,,,,, 
11,,Perşembe,,,,,,, 
12,,Cuma,,,,,,, 
13,,Cumartesi,,,,,,, 
14,,Pazar,,,,,,, 
15,,Pazartesi,,,,,,, 
16,,Salı,,,,,,, 
17,,Çarşamba,,,,,,, 
18,,Perşembe,,,,,,, 
19,,Cuma,,,,,,, 
20,,Cumartesi,,,,,,, 
21,,Pazar,,,,,,, 
22,,Pazartesi,,,,,,, 
23,,Salı,,,,,,, 
24,,Çarşamba,,,,,,, 
25,,Perşembe,,,,,,, 
26,,Cuma,,,,,,, 
27,,Cumartesi,,,,,,, 
28,,Pazar,,,,,,, 
29,,Pazartesi,,,,,,, 
30,,Salı,,,,,,, 
31,,Çarşamba,,,,,,, 

,,,,,TOPLAM:,0,0,0,
,,,,,,,,, 
Çalışan İmzası:,,,,Yönetici İmzası:,,,,
Tarih:,,,,Tarih:,,,,

Bu şablon CADRO tarafından ücretsiz olarak sunulmaktadır. www.cadro.io
